review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R2N9SND8DANUVH,5,0,0,N,Y
R1PVMCGKKUHFEH,5,0,0,N,Y
R2YQVWVQGWCR4N,5,0,0,N,Y
R1WJVFBSY8WXV9,1,0,0,N,Y
R2WMIFOXNFUULV,4,0,0,N,Y
R14QZMSTUGPGGU,5,0,0,N,Y
R2I060426U0BSZ,1,0,0,N,Y
R3I65EZZRJURQX,5,0,0,N,Y
R2FJ003WAFFRLH,1,1,1,N,Y
R39E48WDFMTGNS,1,0,0,N,Y
R3O5PPJU9FO69P,5,0,0,N,Y
R3IW1051J4Z2FN,5,0,0,N,Y
R3BPJEOGL1G3UK,5,1,1,N,N
R3KSIV76O7T36C,5,0,0,N,Y
R2HVHJWC6AQASN,1,5,8,N,Y
R3QT5707Z2RPC,5,0,0,N,Y
R2B123Z6N63X6U,5,0,0,N,Y
R1TWEKQ2N7EPXQ,4,0,0,N,Y
R1QB0661SEZA6H,5,0,0,N,Y
RKJEVRFSIUMG3,5,0,0,N,Y
R1GWGM2B8UGQ9T,4,0,0,N,Y
R3VGB1P7QS0ZQT,5,0,0,N,N
R1XT34JC176BLS,5,0,2,N,Y
R3GVYPB1024TMR,5,0,0,N,Y
R3BJ0YPTT47ALM,4,0,0,N,Y
R2K043HP60TTBT,5,0,0,N,Y
R1SYATWKMHOQUH,5,0,0,N,Y
R16PF69N0YDMN9,4,0,1,N,Y
R1TSX0PXFCRJVI,5,0,0,N,Y
R36NGVB3V6PMG0,5,0,0,N,Y
R3UCX4ZKIFWUBH,5,1,1,N,Y
R13324XV2ZHO6K,5,0,0,N,Y
R3DMOP6FTVSTBC,5,0,0,N,Y
R3R6A6QDY0A698,5,0,0,N,Y
R2J9GMI72BZXAI,3,0,0,N,Y
R2U4O7TJ3F9PH4,1,0,0,N,Y
R37XC6QFXI5235,5,0,0,N,Y
RV4UH0OWW97K4,5,19,22,N,N
R24R80KZMIED64,1,0,0,N,Y
R2BXQY1G3DCF7X,4,0,0,N,Y
R2VT1DHNI32I15,4,3,4,N,N
R3QEC26907TWUG,1,0,4,N,Y
R3QWE7MODQ4QXQ,5,1,1,N,Y
R14Y5ZK1QWIH85,5,0,0,N,N
R3BORXECU9F850,5,0,0,N,Y
R35MGN9TM6BQCU,5,3,3,N,Y
R1HDVNX5ZUM58Z,5,0,0,N,Y
R1ZHR5K3PF1OPH,5,0,0,N,Y
R156L9DXYCKDZC,5,0,0,N,Y
R5STNM4IZS5SI,1,1,2,N,Y
R9T11KKUL5HTI,1,0,0,N,Y
R3KQNW7ZZUPDYV,5,0,0,N,Y
R3RTO9WVB1W7QP,5,0,0,N,Y
RZSCVIDMB5M01,4,0,0,N,Y
RP5V3WM4J7VGT,3,1,1,N,Y
R2ZXGDF52HCZXI,5,0,0,N,Y
R285SHWXLEJHXE,5,0,0,N,Y
R3UCQZ6IXAXO1R,1,2,2,N,Y
RMZQNQKD5J435,1,0,0,N,N
R3KIPEU83UZ553,5,0,0,N,Y
R7FNXANHOX5Q0,5,0,0,N,N
R1BM1D8TU5OXN,4,0,0,N,Y
RLZZ47CBV83IT,5,0,0,N,Y
R2QFHB7GNUA5GP,5,0,0,N,Y
R2YH8F366V4OWB,1,0,1,N,Y
R2TBKRACGNLFP8,1,1,1,N,Y
R1G1MC3W3ZS8BT,1,0,0,N,Y
R19ABXL72YH3II,5,0,0,N,Y
R1DPPDT6HXSHZU,5,0,1,Y,N
R35AIML7DPG22E,5,0,0,Y,Y
R3S2EDT4DLU3S3,1,2,8,Y,N
R3IUWZ8CQSXE2W,2,0,5,Y,Y
R10CQBAT9MW3IA,1,3,12,Y,Y
R2L7L6EYJ6QVAG,5,0,2,Y,Y
RZUJAJ8IPVRXA,5,0,0,Y,Y
RPVMG1MRJ7MTN,5,1,1,Y,Y
R189B0PIN1PW87,5,0,0,Y,Y
R1RBECGCHQWD1J,5,0,0,Y,Y
R1D89Z56NUE07P,5,0,0,Y,Y
R3OA7WF2PQKF5O,5,0,0,Y,Y
R25XP59NIOTDD3,5,0,0,Y,Y
RDL7WT3RX3KHZ,4,0,3,Y,N
R8TIXY30WOPF6,1,0,0,Y,Y
R4SYTP664GJM0,5,0,0,Y,Y
R1T1BSP5JJH78X,5,0,0,Y,Y
R29L867WD1CN5E,4,0,0,Y,Y
R3ID9Z53B5NIO8,4,0,1,Y,Y
R3UM5OBD4A6UN7,5,0,0,Y,N
R2TGS3SY27453V,5,0,0,Y,Y
RFSAA03LF17RE,2,0,3,N,Y
RVOR5LXYUNKBX,5,0,0,N,Y
R34P8ZAK14BZ57,5,0,0,N,Y
R1BYL6EKATTFXH,5,0,0,N,Y
R1OBML9D1IUARM,5,0,2,N,Y
R10CSUN0V1HZ8I,5,0,0,N,Y
R2TTFBSZ2XGIG9,1,5,9,N,Y
RSMTJQKFC7WBW,5,0,0,N,Y
R2DD1QJ0Y24P8E,2,0,0,N,Y
R2I8S9OIPV10IT,5,0,1,N,Y
R3R99NQZJUS6XQ,5,0,0,N,Y
R1CMNL62D1NG4G,5,0,0,N,Y
R1CKROR9XXD7T2,5,0,0,N,Y
R235OOUT5O3BFL,5,2,2,N,Y
R1EB3G9GQ78SMH,5,0,0,N,N
R1B9K3JN05UQJF,1,1,1,N,Y
R3UU8N578ZW3M1,5,0,0,N,Y
R3CISWFP55OFVD,5,0,0,N,Y
R2JLIRRSA6BIAU,3,0,0,N,Y
R2D7ZGR1WRDUEJ,5,0,0,N,Y
R3B90SDY9RDTMT,1,1,1,N,Y
R21K0ZXEYC1QYI,1,0,0,N,Y
R1FNOMLQRVIDFH,1,0,1,N,Y
R1CS49H1GWK2VD,5,0,0,N,Y
R3P6ERAW6HIIJ5,5,0,0,N,Y
R1IIKTMKB8AZO7,4,0,0,N,N
R2ANK8ZWUPYFQ4,1,4,11,N,Y
RYE1OFK54KPZ3,5,0,1,N,Y
RWH828DSV3R7H,5,0,0,N,Y
RXOA7W9RA4Q4H,5,0,0,N,N
RBANQ16BSFMEY,5,0,0,N,Y
R1UGH5O22F4EWP,3,0,0,N,Y
R3RSERMJMJU59O,5,0,0,N,Y
R3GBROT9LZFAC3,5,1,1,N,Y
R117F37QTHVO00,4,0,1,N,N
RGS457OV627VA,2,0,4,N,N
RIGUNB0RIKRTJ,4,1,1,N,N
RX1XJ068N5DT8,5,0,0,N,N
R20UEZ2LF9ZM9A,5,1,1,N,N
R1N8N0KAFSMOOP,5,0,0,N,Y
R3692O7JPDBJ8T,5,1,2,N,Y
R39NEN52Q5N2HG,5,0,0,N,Y
R2U967HYKZSULX,4,0,0,N,N
R33OIN97P020JP,5,0,0,N,Y
R2GMFCWSTV4UET,5,0,0,N,Y
R23S2CUWT060TK,5,8,8,N,N
R14O1GGBN3R9Y4,5,0,0,N,Y
RZYGECAPX5S4L,5,0,0,N,Y
RH7SGRR1GTSEJ,5,1,1,N,Y
R1PM1C76TMZR9Q,5,0,0,N,Y
R3PCO5KYNZ81V8,4,0,0,N,Y
R1JNIOO8SFTJ3Q,4,0,0,N,N
RMTS0PW5UMY4Q,3,0,0,N,Y
R252J3NKTQ1BB9,5,0,0,N,Y
R2PXFTUGWVIHI8,1,2,5,N,Y
R3C3XHWNTXQZSY,5,0,0,N,Y
R1PIBM90BGYZZE,2,1,1,N,Y
R2HMLI1V5YZOHD,5,1,1,N,Y
R2DW2GHYUW2128,5,0,0,N,Y
R1CT0X16GEA14H,2,0,4,N,Y
R3264FQV8DDV0B,1,0,0,N,Y
RDRJG0Q67Y9MY,1,0,1,N,Y
RY7VREC5O2PV7,5,0,0,N,Y
R36MVXMR9QBMRK,5,0,0,N,Y
R1IBNR5HYZ2ABD,5,0,0,N,Y
RSW68BDU3Q6TO,5,1,1,N,Y
RSKYZR9GO6DRH,1,0,1,N,N
R1CJ4CVRX7N2EZ,5,0,0,N,Y
R1OSOFQ1GEXNAZ,5,1,8,N,N
R1RH1XFEGV9C0E,2,0,0,N,Y
R2ON2OATFC25TH,3,0,0,N,Y
R8GLRP96X4V3A,4,0,0,N,Y
R20SFBGDO5NCWC,5,0,0,N,Y
R31ZFYIMDPR4PD,4,2,2,N,N
R1BLVLQM1P3HY9,5,2,2,N,N
R3JQ852I83MFET,5,0,0,N,Y
R32SC0NWKE6XZF,4,0,0,N,Y
R2WGPRP4BUDO1A,5,0,0,N,Y
R2JH3JEPHVXG0C,5,0,0,N,Y
R1O66A3LD0FKJ2,5,0,0,N,Y
R5G2PMYQ11B3W,5,0,0,N,Y
R1QT7NDWGF544R,1,4,5,N,Y
R1R91UAQC2KC3X,1,0,0,N,Y
R30UN2ZB25GDQT,5,1,1,N,Y
R15LY5WWQB6QBZ,5,0,1,N,Y
R3FLWGR1C1B2AX,5,0,0,N,Y
R2NCC6D23MVPD6,5,0,0,N,Y
R1CY3XA3W6AAP3,1,0,0,N,N
R21CTEN4ZWRYA1,4,0,0,N,Y
R3FNML7IPF4VKD,5,0,0,N,Y
R9CSWC1FKEUO5,2,0,1,N,Y
R3LR0GWWYVP125,5,0,0,N,Y
R289ZIW8C92208,5,0,0,N,N
R3HSOP1GZ7L8KP,1,1,7,N,Y
R2BUKLIEZJEE1U,5,0,0,N,Y
R355RLZY97F7QS,4,0,0,N,Y
RUID994N4KYDX,5,0,0,N,Y
R1K3JUZRZHFSCR,1,0,0,N,Y
R1HYI9AXVRDHU0,5,0,0,N,Y
RPBFW2O9IPQ1I,1,0,1,N,Y
R2T4XUQW2RZT19,5,0,0,N,Y
REQH8TDXUV977,5,0,0,N,Y
R86L6Q15SLE92,5,0,0,N,Y
R2EZMFWDVPCAC9,1,1,2,N,Y
RRATPC7O0EJZP,5,0,0,N,Y
R1FOKJ6E12W6HW,5,0,0,N,Y
R2ACHFS9ELQA1I,5,0,0,N,N
R8PMNKTLS3YNT,5,0,0,N,Y
R2E5D4F1CX9KAN,1,2,4,N,Y
REQULAWSJBTV6,5,0,0,N,Y
R3H2FEJ5BB74D4,5,0,1,N,Y
RXEWD3THX98UN,5,2,2,N,Y
R1GA5HVWCUPZTC,5,0,0,N,Y
RXR4QK42ZK5BA,5,0,0,N,Y
R21NOFKMM5QWWV,5,0,1,N,Y
R2Z2SK4NO8SR6Q,5,0,0,N,Y
R3NKB7CLCQ61ON,5,0,0,N,Y
R3234UZR3ENK22,4,0,0,N,Y
R47GT7J4ZJ9JX,4,0,0,N,Y
R1S4Z39WCXPQM2,1,1,1,N,Y
R24OSHCGREF78Q,5,0,0,N,Y
RN0IGK9V02MAM,5,0,0,N,Y
ROMNRCAPR8FKU,5,0,0,N,Y
R2ZN124DJCEXZE,5,2,4,N,Y
R1UJSSOE66DA1J,5,0,1,N,Y
R2YCQ2ONXV4U5T,5,0,0,N,Y
R13XKIBIRMR6SQ,5,0,0,N,Y
RAGM29KX8NTFP,5,0,0,N,N
RCRMN2F014396,1,0,0,N,Y
R26O05INR8PE4S,5,0,0,N,Y
R2A62IE25GESNM,5,0,0,Y,Y
R3HCC8FQIP1N9Z,5,0,0,Y,Y
R218FNQ9HA1S3B,5,0,0,Y,Y
R1FLN043CUIELV,3,0,0,Y,Y
R2ONV37L0EJA27,5,0,0,Y,Y
R44GBZ9VHAML6,5,0,0,Y,Y
R366Z9M2HRBLND,5,0,1,Y,Y
R1WHTI6H5UXQ,1,13,18,Y,Y
R2S91HZBTQAK1L,5,0,0,Y,Y
RP4M4NJGED2AL,5,1,1,Y,Y
REQXKTQE2RO2O,5,0,0,Y,Y
R3CETF1RV8FLKK,5,0,0,Y,Y
R13VA0K440Q3G,5,0,0,Y,Y
R20L2SUDYTFV9I,5,3,3,Y,N
RK8BPUJUCENJE,5,0,0,Y,Y
R11XQHJF1XXAQ8,5,0,0,Y,Y
R3CPPGFIVY9WNB,5,0,0,Y,Y
R6JSFQJCLCPRW,5,0,0,Y,Y
R1BFYKLA7KD485,5,0,0,N,Y
R3EHTCQXGJE5C2,5,0,1,N,Y
R14VESKI1QCNSO,5,0,0,N,Y
R1EX1HJMHEGU8T,4,0,0,N,Y
R1DGRS8OLTQNFK,5,0,0,N,Y
RBLH3B06V948F,5,0,0,N,Y
R26MSG85RHBBBM,5,0,0,N,Y
R332MKARWMNNXC,4,3,4,N,Y
R1Y0S9Y09I5EAO,1,0,0,N,N
RNBY1BZGJEME2,5,0,0,N,Y
R22VY3T1NHUIC9,1,0,1,N,Y
RTSBQQQ8D0OS9,1,0,2,N,Y
R1ZU14MGV4BYC6,5,0,0,N,Y
RK56ETJ5VD5YC,5,0,0,N,N
RTYITJY4JJ3MC,4,1,1,N,N
RL9666SWDDSQ1,5,0,0,N,Y
RGD39B9R1E7GC,5,0,0,N,Y
R2G3W3HMXV1CQ3,4,0,0,N,Y
R1CTU72T9NOVJC,3,0,0,N,Y
R1ZVCZ2NKYX7VW,5,0,0,N,Y
R1B4JWJKAKGW4P,5,0,0,N,Y
R29ZTPVKXOR0U8,1,0,0,N,Y
R1RWSFJWLXZ9SE,1,0,0,N,Y
R16WG9G26UE0H7,5,0,0,N,Y
R3OO6KLWSALGEY,5,0,0,N,N
RU00D0E2K2LTZ,3,0,0,N,Y
R266RU9BJG63CY,5,0,0,N,Y
R2ZQCDCP7D6BY8,5,0,0,N,Y
R205CJJJ27K1BK,4,0,0,N,Y
R2O5IVMBW21DM9,5,0,0,N,Y
R3CLUY1PJWB6P1,5,0,0,N,Y
RJMHSMXNT4281,3,0,0,N,Y
R128DI8XDW1KOC,3,0,0,N,Y
R1N0XSWP06053R,4,0,0,N,Y
R1ZFMC1DSZ7MF7,5,0,0,N,Y
R5NQSAT17T178,5,1,1,N,Y
R32CCHCK9VF4C9,4,0,0,N,Y
R2NRISDR1TW2QR,5,0,0,N,Y
REGNYJBVHW3L5,5,0,0,N,Y
R1UXG2D4UM179R,1,0,0,N,Y
R2LAWWA0HXRYOF,4,3,3,N,N
R1Q8L1KLA0PX24,5,0,0,N,Y
RUWT4NRBSZ9QD,5,0,0,N,Y
RF3OKW66LXKM5,5,0,0,N,Y
R2HWC5RXEA0F5C,5,0,0,N,Y
R2OZ2V07DHQW8D,4,0,0,N,Y
R5XBKER761SGP,5,0,0,N,Y
R2PJ1KKCQAHZL6,1,0,7,N,Y
R3L06DZBNQ4IZ6,5,0,0,N,Y
R32DL9V0ICX4ZI,5,0,0,N,Y
R2VUPCI4MUSWOE,5,0,0,N,Y
R307B9K3L7UEVF,5,0,0,N,Y
R20DAQ2A0A56KN,5,0,0,N,Y
R35LALJGQNJ0TB,1,0,0,N,Y
RT5ILWREVGER1,5,0,0,N,Y
R2CBHBCJD3Y1YC,1,1,6,N,Y
RSS1FSSRKTNLS,5,0,1,N,Y
R1ALYBE36GDLAM,5,0,0,N,Y
R33MYY9HYCSFA5,3,0,0,N,Y
R2GME14AXC14EM,5,0,0,N,Y
R2HNISA73YLS3J,5,0,0,N,Y
R3KKXVSALKUPZO,4,0,0,N,Y
R3MQZQRQW9KEAR,5,0,0,N,Y
R31SVABXDR2WCS,5,0,0,N,Y
R12MOJ4H7KIDGT,5,0,0,N,Y
RHL53UEG9WUQV,5,0,1,N,Y
R23RDEKF71S87T,3,0,0,N,Y
R3FVWHPZ9MTB2V,5,0,0,N,Y
R1T3XYS4603PIS,5,0,0,N,Y
R2R1RZB8VLX1NR,5,0,0,N,Y
R2K2LMZ03S6Z02,5,0,0,N,Y
R2KZQOQ7PF3RFV,5,0,0,N,N
RAAH9Y2DOL6CU,5,0,0,N,Y
R37LVYY5Q49H98,3,2,2,N,Y
R29HIYDNHPY1I8,1,0,0,N,Y
R1UXR845Z2VRRG,5,0,0,N,Y
R259O22TGZH29T,1,0,2,N,Y
R4OY2TNZME9VA,5,0,0,N,Y
R3Q1F3NC56KGA0,5,0,0,N,Y
R368YCGH982JWN,5,0,0,N,Y
